"","ID","Level","gender","PosX","PosZ","FacingAngle","distTraveled","distFromTarget","elapsedTime","PerspectiveShift","WalkingDirection","TravelDistance"
"1",915,-1,FALSE,-1.34,0.33,236.19,1.38,1.38,32.89,0,"0",0
"2",915,0,FALSE,0.06,-0.09,356.85,0.11,0.11,327.56,0,"0",0
"3",915,1,FALSE,1.47,-1.41,74.11,2.04,2.29,13.33,-35,"front: -15",2.7
"4",915,3,FALSE,-1.61,-1.21,294.37,2.01,1.35,3.56,-40,"L: -60",2.7
"5",915,4,FALSE,1.09,-0.14,2.64,1.1,1.68,0.89,-20,"R: 95",1.5
"6",915,5,FALSE,0.92,-1.98,150.3,2.19,2.4,4.44,-30,"Back: -150",2.8
"7",915,6,FALSE,-0.7,-1.34,331.04,1.51,0.46,4,-10,"Back: -140",1.5
"8",915,7,FALSE,-1.25,1.63,322.04,2.06,2.53,4,-70,"front: 30",2.5
"9",915,8,FALSE,1.23,1.34,354.58,1.82,0.45,3.11,-75,"front: 35",1.7
"10",915,9,FALSE,-1.22,2.64,331.65,2.91,3.68,4.89,-60,"R: 55",3
"11",915,10,FALSE,-1.4,-0.78,275.44,1.61,0.67,4.89,-80,"L: -105",1.5
"12",915,11,FALSE,0.14,-1.53,202.21,1.54,2.67,6.67,-85,"Back: 160",2.9
"13",915,12,FALSE,0.1,-1.86,174.51,1.86,2.13,6.67,-50,"Back: 170",1.5
"14",915,13,FALSE,1.37,1.91,37.83,2.36,3.65,3.56,-115,"front: -20",2.7
"15",915,14,FALSE,-1.27,0.94,344.53,1.58,1.81,4,-95,"front: -25",1.9
"16",915,15,FALSE,1.96,-0.42,96.75,2,2.59,6.67,-100,"R: 60",2.5
"17",915,16,FALSE,1.22,-1.34,127.97,1.81,3.02,3.11,-125,"L: -100",1.8
"18",915,17,FALSE,1.59,-1.55,118.23,2.22,3.19,3.56,-115,"Back: -140",2.5
"19",915,18,FALSE,1.94,1.01,13.76,2.18,1.1,4,-110,"Back: 155",2
"20",915,19,FALSE,1.79,-0.6,97.57,1.89,2.27,6.67,-175,"front: 40",2.6
"21",915,20,FALSE,-0.25,1.48,342.04,1.5,2.15,2.22,-165,"front: -25",1.5
"22",915,21,FALSE,2.07,-0.01,74.31,2.07,2.32,4,-145,"R: 50",3
"23",915,22,FALSE,-1.52,-0.61,251.69,1.64,0.86,3.11,-140,"L: -120",1.7
"24",915,23,FALSE,0.05,-2.04,173.29,2.04,1.8,4,-175,"Back: -175",3
"25",915,24,FALSE,0.46,-1.25,142.31,1.33,2.15,2.67,-155,"Back: 145",1.5
"26",915,25,FALSE,1.72,0.9,74.39,1.94,1.04,2.22,35,"front: 15",2.7
"27",915,26,FALSE,1.2,0.63,18.03,1.35,0.4,0.89,5,"front: 35",1.6
"28",915,27,FALSE,1.29,-1.4,107.52,1.9,3.88,3.55,40,"R: 60",2.7
"29",915,28,FALSE,-1.5,0.28,64.57,1.52,1.77,4.45,20,"L: -95",1.5
"30",915,29,FALSE,0.22,-2.08,120.47,2.1,3.68,6.22,30,"Back: 150",2.8
"31",915,30,FALSE,1.06,-0.65,95.63,1.24,1.61,1.33,10,"Back: 140",1.5
"32",915,31,FALSE,1.62,1.76,101.8,2.39,4.16,4,70,"front: -30",2.5
"33",915,32,FALSE,1.45,1.68,65.63,2.22,3.59,3.11,75,"front: -35",1.7
"34",915,33,FALSE,1.68,1.3,33.78,2.12,5.59,4.89,60,"L: -55",3
"35",915,34,FALSE,-0.75,-1.69,228.45,1.85,3.83,3.56,80,"R: 105",1.5
"36",915,35,FALSE,-0.62,-2.03,202.85,2.12,1.1,4.89,85,"Back: -160",2.9
"37",915,36,FALSE,-0.95,-1.39,280.13,1.68,1.32,1.78,50,"Back: -170",1.5
"38",915,37,FALSE,0.18,2.35,358.74,2.35,1.61,3.56,115,"front: 20",2.7
"39",915,38,FALSE,1.42,-1.49,71.34,2.06,2.38,3.56,95,"front: 25",1.9
"40",915,39,FALSE,-1.96,0.52,288.72,2.02,2.69,4.44,100,"L: -60",2.5
"41",915,40,FALSE,1,-1.75,114.76,2.01,3.61,4.44,125,"R: 100",1.8
"42",915,41,FALSE,-1.85,-0.96,297.89,2.08,4.3,5.33,115,"Back: 140",2.5
"43",915,42,FALSE,-0.71,-2.13,192.88,2.24,1.29,3.56,110,"Back: -155",2
"44",915,43,FALSE,2.29,-1.1,145.54,2.54,4,5.78,175,"front: -40",2.6
"45",915,44,FALSE,0.39,1.5,44.96,1.55,0.9,2.67,165,"front: 25",1.5
"46",915,45,FALSE,1.81,-0.11,93.98,1.81,4.65,6.22,145,"L: -50",3
"47",915,46,FALSE,2.02,-0.76,135.27,2.16,2.3,4.89,140,"R: 120",1.7
"48",915,47,FALSE,0.22,-2,160.94,2.01,2.26,7.56,175,"Back: 175",3
"49",915,48,FALSE,0.17,-1.5,183.04,1.5,1.21,3.11,155,"Back: -145",1.5
